dev,VBUS,ILOAD,TJ,NPU_LS,NPD_LS,NPD_HS,DT,CLKEN,VNEG,E_tot,ov_pct,margin,Vgs_spur_hs
0,100,10,25,8,8,4,35n,1,-2,6.99743327873918e-06,23.618036000000004,2.4064636999999975,-1.0064636999999976
0,200,10,125,8,8,4,35n,1,-2,1.5777751924077237e-05,6.0367399999999956,2.1193949999999973,-0.8693949999999973
0,200,2,125,8,8,4,35n,1,-2,9.220692639703816e-06,2.8412845000000004,2.167338000000001,-0.9173380000000009
0,50,2,25,6,8,8,35n,0,0,6.423389838732931e-07,5.996019200000006,0.26863740999999974,1.1313625900000002
0,100,10,25,6,8,8,35n,0,0,4.729949433756277e-06,22.598059000000006,-0.08300739999999829,1.4830073999999982
0,200,10,125,6,8,8,35n,0,0,1.2907834638210525e-05,5.743962999999995,-0.3810440000000028,1.6310440000000028
0,200,2,125,6,8,8,35n,0,0,7.675189091650388e-06,2.292852499999995,-0.38326399999999694,1.633263999999997
0,50,2,25,6,2,8,5n,0,-2,6.327110946646118e-07,102.46495799999998,0.4080210109999999,-0.5953705920000001
0,100,10,25,6,2,8,5n,0,-2,5.025450822701649e-06,33.15597199999999,0.3009617,-0.3820931999999999
0,200,10,125,6,2,8,5n,0,-2,1.539661674694594e-05,29.656881,-0.015154639999999997,-0.305609000000004
0,200,2,125,6,2,8,5n,0,-2,7.446060991398808e-06,17.7776315,-1.2204214000000002,-0.5587040000000059
0,50,2,25,6,2,8,5n,1,0,6.236836306424981e-07,116.89781199999999,0.5337546999999999,0.5799563499999998
0,100,10,25,6,2,8,5n,1,0,3.7946744612101292e-06,57.55842999999999,0.45205501999999986,0.7710927999999981
0,200,10,125,6,2,8,5n,1,0,2.6645578824927428e-05,57.71537399999999,-1.29086911,0.8545790000000011
0,200,2,125,6,2,8,5n,1,0,7.891911149936431e-05,95.24231100000002,-2.58918412,0.7842559999999992
0,50,2,25,8,8,1,10n,1,-2,7.173402441549859e-07,5.928126199999995,2.2901876426,-0.8901876425999999
0,100,10,25,8,8,1,10n,1,-2,5.169553935697107e-06,23.638364999999993,2.386257700000003,-0.986257700000003
0,200,10,125,8,8,1,10n,1,-2,1.553358523770189e-05,6.051254499999999,2.0064959999999985,-0.7564959999999985
0,200,2,125,8,8,1,10n,1,-2,8.765982446493909e-06,24.579756500000002,2.0522519999999815,-0.8022519999999815
0,50,2,25,6,2,4,10n,1,0,5.779643001509843e-07,37.51222580000001,0.7838523499999996,0.6161476500000003
0,100,10,25,6,2,4,10n,1,0,4.222957585737995e-06,24.007659000000004,0.5497913000000039,0.850208699999996
0,200,10,125,6,2,4,10n,1,0,1.3345695582577682e-05,4.408274000000006,0.36057199999999057,0.8894280000000094
0,200,2,125,6,2,4,10n,1,0,0.00013413023042393914,134.9553395,-2.13110805,3.2003452999999986
0,50,2,25,2,2,8,15n,0,-2,1.2823933778837167e-06,6.498517199999994,2.4255158,-1.0255158
0,100,10,25,2,2,8,15n,0,-2,6.709697317320321e-06,18.773979999999995,2.426442892,-1.026442892
0,200,10,125,2,2,8,15n,0,-2,1.8928681140236708e-05,8.387396499999994,2.498158000000018,-1.2481580000000179
0,200,2,125,2,2,8,15n,0,-2,9.80613524271168e-06,12.266547000000003,2.36056614,-1.2614219999999818
0,50,2,25,8,2,4,15n,0,0,5.912307812041279e-07,5.894293200000006,-0.4022503399999997,1.8022503399999996
0,100,10,25,8,2,4,15n,0,0,4.4954347187519934e-06,18.621757000000002,-0.8876520000000014,2.2876520000000014
0,200,10,125,8,2,4,15n,0,0,1.3702817811922246e-05,8.815057499999995,-1.347518000000008,2.597518000000008
0,200,2,125,8,2,4,15n,0,0,7.32921041092292e-06,24.066601500000004,-1.3745350000000087,2.6245350000000087
0,50,2,25,1,2,8,25n,1,-2,1.55354385662669e-06,10.911872200000005,3.0892758311,-1.6892758311
0,100,10,25,1,2,8,25n,1,-2,8.77245033504612e-06,23.076221000000004,3.02855099,-1.62855099
