t_us,vout_closed,vout_open,iout,vin
716.4291,50.2111,49.6870,4.7527,100.000
716.8042,50.2119,49.6867,5.5734,100.000
717.1793,50.2103,49.6863,5.7694,100.000
717.5544,50.2083,49.6862,4.9104,100.000
717.9295,50.2053,49.6864,4.0526,100.000
718.3046,50.2015,49.6856,4.4901,100.000
718.6797,50.2000,49.6845,5.3127,100.000
719.0548,50.1981,49.6829,6.0600,100.000
719.4299,50.1965,49.6824,5.2009,100.000
719.8050,50.1957,49.6822,4.3427,100.000
720.1800,50.1935,49.6808,4.2196,100.000
720.5551,50.1923,49.6790,5.0442,100.000
720.9302,50.1909,49.6768,5.8633,100.000
721.3053,50.1891,49.6752,5.4893,100.000
721.6804,50.1882,49.6749,4.6309,100.000
722.0555,50.1861,49.6742,3.9489,100.000
722.4306,50.1854,49.6732,4.7758,100.000
722.8057,50.1849,49.6723,5.5968,100.000
723.1808,50.1833,49.6702,5.7817,100.000
723.5559,50.1826,49.6694,4.9231,100.000
723.9310,50.1819,49.6687,4.0656,100.000
724.3061,50.1798,49.6653,4.5019,100.000
724.6812,50.1789,49.6623,5.3248,100.000
725.0563,50.1772,49.6584,6.0563,100.000
725.4314,50.1758,49.6574,5.1976,100.000
725.8065,50.1746,49.6575,4.3398,100.000
726.1815,50.1717,49.6564,4.2186,100.000
726.5566,50.1722,49.6548,5.0436,100.000
726.9317,50.1740,49.6529,5.8630,100.000
727.3068,50.1720,49.6500,5.4820,100.000
727.6819,50.1696,49.6485,4.6240,100.000
728.0570,50.1643,49.6441,3.9489,100.000
728.4321,50.1635,49.6416,4.7762,100.000
728.8072,50.1627,49.6381,5.5976,100.000
729.1823,50.1611,49.6346,5.7747,100.000
729.5574,50.1602,49.6333,4.9165,100.000
729.9325,50.1592,49.6329,4.0594,100.000
730.3076,50.1568,49.6294,4.4979,100.000
730.6827,50.1564,49.6268,5.3212,100.000
731.0578,50.1552,49.6228,6.0499,100.000
731.4329,50.1538,49.6213,5.1915,100.000
731.8080,50.1527,49.6206,4.3341,100.000
732.1830,50.1501,49.6177,4.2138,100.000
732.5581,50.1489,49.6155,5.0392,100.000
