NPU_LS,NPD_LS,NPD_HS,DT_ns,CLKEN,VNEG,E_on_uJ,E_off_uJ,E_dt_uJ,E_tot_uJ,ov_pct,margin_V,Vgs_spur_V
2,8,8,5,1,-2,5.38487,0.611201,0.675309,6.67138,23.336,3.00793,-1.60793
2,8,8,10,0,0,3.8956,0.634841,0.625051,5.1555,22.3947,0.553024,0.846976
2,8,8,10,0,-2,5.13134,0.609201,0.647933,6.38848,23.5965,2.56717,-1.16717
2,8,8,10,1,0,4.01888,0.636515,0.636568,5.29197,22.1108,1.04799,0.352014
2,8,8,10,1,-2,5.3672,0.609943,0.658882,6.63603,23.4843,3.00868,-1.60868
2,8,8,15,0,0,3.90611,0.634759,0.619541,5.16041,22.3947,0.552574,0.847426
2,8,8,15,0,-2,5.16505,0.609777,0.645183,6.42001,23.5965,2.56433,-1.16433
2,8,8,15,1,0,3.98425,0.637115,0.631906,5.25327,22.1108,0.965486,0.434514
2,8,8,15,1,-2,5.33113,0.611832,0.655648,6.59861,23.4843,3.0152,-1.6152
2,8,8,25,0,0,3.90195,0.634437,0.63919,5.17558,22.3947,0.552697,0.847303
2,8,8,25,0,-2,5.15809,0.609923,1.54571,7.31373,23.5965,2.56431,-1.16431
2,8,8,25,1,0,3.99359,0.637238,0.622306,5.25314,22.1108,0.995788,0.404212
2,8,8,25,1,-2,5.31008,0.612905,1.53132,7.45431,23.4843,3.01712,-1.61712
2,8,8,35,0,0,3.89877,0.633928,1.20311,5.73581,22.3947,0.552416,0.847584
2,8,8,35,0,-2,5.1528,0.610372,2.51886,8.28202,23.5965,2.56426,-1.16426
2,8,8,35,1,0,4.00775,0.635018,1.18661,5.82938,22.1108,1.01311,0.386891
2,8,8,35,1,-2,5.30774,0.614178,2.50444,8.42636,23.4843,3.01685,-1.61685
3,2,1,5,0,0,14.4137,4.86036,0.0139425,19.288,42.2769,-3.36758,4.76758
3,2,1,5,0,-2,5.33962,0.715468,0.120838,6.17592,44.8577,-2.16685,3.56685
3,2,1,5,1,0,4.02473,0.907609,0.0195146,4.95185,62.2902,0.077924,1.32208
3,2,1,5,1,-2,5.39072,0.646218,0.157587,6.19452,35.7774,1.77329,-0.373295
3,2,1,10,0,0,7.92391,1.17268,0.579936,9.67653,18.0043,-2.42016,3.82016
3,2,1,10,0,-2,4.43265,0.706434,0.538165,5.67725,18.6821,-0.851542,2.25154
3,2,1,10,1,0,3.48831,0.629366,0.642706,4.76038,23.9682,0.736161,0.663839
3,2,1,10,1,-2,4.88801,0.639842,0.68565,6.2135,23.991,2.80503,-1.40503
3,2,1,15,0,0,6.62141,1.17607,0.454624,8.25211,20.9687,-2.23479,3.63479
3,2,1,15,0,-2,4.71335,0.709215,0.355644,5.7782,20.9235,-0.655362,2.05536
3,2,1,15,1,0,3.48554,0.629587,0.647232,4.76236,23.9682,0.677177,0.722823
3,2,1,15,1,-2,4.77336,0.640447,0.666334,6.08014,23.991,2.75161,-1.35161
3,2,1,25,0,0,6.54662,1.17668,0.412438,8.13573,20.9687,-2.20924,3.60924
3,2,1,25,0,-2,4.71938,0.710589,1.23269,6.66266,20.9235,-0.680794,2.08079
3,2,1,25,1,0,3.50747,0.631038,0.627654,4.76616,23.9682,0.723604,0.676396
3,2,1,25,1,-2,4.76719,0.641704,1.261,6.6699,23.991,2.75728,-1.35728
3,2,1,35,0,0,6.54348,1.17793,0.975491,8.69691,20.9687,-2.20921,3.60921
3,2,1,35,0,-2,4.71677,0.712536,2.20401,7.63331,20.9235,-0.679989,2.07999
3,2,1,35,1,0,3.51302,0.632824,1.04729,5.19313,23.9682,0.74012,0.65988
3,2,1,35,1,-2,4.76741,0.64295,2.23298,7.64334,23.991,2.76043,-1.36043
3,2,4,10,0,0,3.47769,1.17235,0.719696,5.36973,18.0022,-0.433882,1.83388
3,2,4,10,0,-2,4.52787,0.707266,0.78818,6.02332,17.7752,1.9663,-0.566304
3,2,4,10,1,0,3.49321,0.629398,0.678936,4.80154,23.9434,0.777337,0.622663
3,2,4,10,1,-2,4.73518,0.639815,0.772964,6.14796,23.9715,2.8009,-1.4009
3,2,4,5,0,0,3.57035,4.86224,0.0418333,8.47442,42.2767,-3.22921,4.62921
3,2,4,5,0,-2,4.72849,0.716026,0.199599,5.64411,45.2684,-0.161712,1.56171
3,2,4,5,1,0,3.56086,0.907738,0.0432757,4.51188,62.2982,0.376133,1.02387
3,2,4,5,1,-2,4.75248,0.646262,0.228127,5.62687,35.81,2.63535,-1.23535
3,2,4,15,0,0,3.47871,1.17433,0.718235,5.37128,18.8671,-0.436253,1.83625
