E_on,E_off,E_dt,Vds_pk_off,ov_pct_off,E_sw,E_tot,Vds_pk,ov_pct,t_set,E_osc,Vgs_spur,Vgs_spur_hs,Vgs_spur_ls,margin,false_on,VBUS,ILOAD,VDRV,VNEG,NPU_LS,NPD_LS,NPU_HS,NPD_HS,DT,CLKEN,CLKDEL,RUNIT,TJ,corner
6.818243609655017e-07,2.757327758607901e-07,9.296397076847166e-08,11.5397637,-76.9204726,9.575571368262918e-07,1.0505211075947634e-06,82.3633238,64.7266476,6.110500000000007e-08,23.468950470098758,1.73749484,0.7957940000000008,1.73749484,-0.3374948400000002,1,50,2,5,0,1,2,8,8,10n,0,4n,8,25,50V_2A_25C
1.0394902167251382e-06,2.1468760231830753e-07,2.0516561561575315e-07,30.2252038,-39.5495924,1.2541778190434457e-06,1.459343434659199e-06,65.3707441,30.741488199999996,4.8905e-08,15.308155812901663,-1.14110337,-1.4235177000000014,-1.14110337,2.54110337,0,50,2,5,-2,1,2,8,8,10n,0,4n,8,25,50V_2A_25C
6.947944269027087e-07,2.146246337982966e-07,1.6013934595400022e-07,25.9841817,-48.0316366,9.094190607010053e-07,1.0695584066550055e-06,69.8686953,39.7373906,5.2998470000000126e-08,17.30900219500016,0.2771086000000018,0.2771086000000018,0.209943875,1.122891399999998,0,50,2,5,0,1,2,8,8,10n,1,4n,8,25,50V_2A_25C
1.0474090475766634e-06,2.1274862289739864e-07,2.0789635325156495e-07,30.5374544,-38.9250912,1.260157670474062e-06,1.468054023725627e-06,64.6867803,29.37356059999999,4.8805070000000035e-08,15.110330533223944,-1.7721590749999998,-1.7721590749999998,-1.85761131,3.1721590749999997,0,50,2,5,-2,1,2,8,8,10n,1,4n,8,25,50V_2A_25C
6.781586633332853e-07,1.7747963812186747e-06,8.299664744611457e-09,0.175732297,-99.648535406,2.45295504455196e-06,2.4612547092965716e-06,84.4245592,68.84911840000001,5.388800999999994e-08,24.86463494330575,3.82320647,0.7896248000000021,3.82320647,-2.4232064700000002,1,50,2,5,0,1,2,8,8,5n,0,4n,8,25,50V_2A_25C
1.0960830637388303e-06,2.3161776977126846e-07,1.7351408484799458e-08,2.57892036,-94.84215927999999,1.3277008335100987e-06,1.3450522419948981e-06,103.344062,106.68812399999999,6.441299000000008e-08,34.91533496379853,1.16122346,-1.4042533000000006,1.16122346,0.23877653999999993,0,50,2,5,-2,1,2,8,8,5n,0,4n,8,25,50V_2A_25C
6.850888302086423e-07,4.2336201153757697e-07,1.0343850846724513e-08,0.502685718,-98.994628564,1.1084508417462192e-06,1.1187946925929438e-06,107.664544,115.32908800000001,6.019599999999997e-08,29.563991647876808,0.909681765,0.2418426999999994,0.909681765,0.49031823499999994,0,50,2,5,0,1,2,8,8,5n,1,4n,8,25,50V_2A_25C
1.0790181746200997e-06,2.2908408670075222e-07,1.5454156040450794e-08,3.1327571,-93.7344858,1.308102261320852e-06,1.3235564173613026e-06,102.669365,105.33873,6.441084000000011e-08,34.38098473353019,-1.19491182,-1.77163011,-1.19491182,2.59491182,0,50,2,5,-2,1,2,8,8,5n,1,4n,8,25,50V_2A_25C
6.79967482389666e-07,2.1666178012889613e-07,2.454023821465316e-07,53.3857779,6.771555800000001,8.966292625185621e-07,1.1420316446650937e-06,53.3857779,6.771555800000001,3.517146999999995e-08,12.141509413444314,1.4176802999999971,1.4176802999999971,0.00866793355,-0.017680299999997207,1,50,2,5,0,1,2,8,4,35n,0,4n,8,25,50V_2A_25C
1.033397120264101e-06,2.1548429924894584e-07,2.764201390564051e-07,55.4816501,10.963300200000006,1.2488814195130466e-06,1.5253015585694517e-06,55.4816501,10.963300200000006,4.0061240000000054e-08,12.370021923662904,-0.8301739999999995,-0.8301739999999995,-1.97787796,2.2301739999999994,0,50,2,5,-2,1,2,8,4,35n,0,4n,8,25,50V_2A_25C
6.84905945232317e-07,2.1197967774213717e-07,2.381815356819113e-07,53.2604739,6.520947800000001,8.968856229744541e-07,1.1350671586563654e-06,53.2604739,6.520947800000001,3.556369999999996e-08,12.659110889371904,0.3181556999999984,0.3181556999999984,0.00574018796,1.0818443000000015,0,50,2,5,0,1,2,8,4,35n,1,4n,8,25,50V_2A_25C
1.0476334504486688e-06,2.1363311016375645e-07,2.7645697025511605e-07,55.4498609,10.899721799999995,1.2612665606124253e-06,1.5377235308675414e-06,55.4498609,10.899721799999995,4.006053000000002e-08,12.387881661649953,-1.736825744,-1.736825744,-1.98898992,3.136825744,0,50,2,5,-2,1,2,8,4,35n,1,4n,8,25,50V_2A_25C
6.782738777214014e-07,2.1382219348163374e-07,2.4007726561768035e-07,42.6449744,-14.710051199999995,8.920960712030351e-07,1.1321733368207154e-06,54.9242368,9.848473600000005,2.976257000000008e-08,12.542438748121382,0.7935136000000007,0.7935136000000007,0.428041231,0.6064863999999992,0,50,2,5,0,1,2,8,8,15n,0,4n,8,25,50V_2A_25C
1.0380346949308129e-06,2.1228601454388268e-07,2.9327554889823634e-07,52.7216577,5.443315400000004,1.2503207094746957e-06,1.543596258372932e-06,53.0439376,6.087875199999998,1.6054910000000064e-08,12.690061465249917,-1.4203539999999997,-1.4203539999999997,-1.84585395,2.8203539999999996,0,50,2,5,-2,1,2,8,8,15n,0,4n,8,25,50V_2A_25C
6.847964001845875e-07,2.1116475577636105e-07,2.5268940523994774e-07,51.0779105,2.155821000000003,8.959611559609485e-07,1.1486505612008961e-06,52.4353394,4.870678799999993,1.377305000000005e-08,12.764052392630111,0.27147779999999955,0.27147779999999955,0.0118365745,1.1285222000000004,0,50,2,5,0,1,2,8,8,15n,1,4n,8,25,50V_2A_25C
1.0426008988435479e-06,2.1031532239414269e-07,2.924835730230592e-07,53.0750484,6.1500968,1.2529162212376905e-06,1.5453997942607497e-06,53.309593,6.619186,1.605487000000013e-08,12.711867110185699,-1.7715506300000001,-1.7715506300000001,-1.99007606,3.17155063,0,50,2,5,-2,1,2,8,8,15n,1,4n,8,25,50V_2A_25C
6.785207262568109e-07,2.1680369244207577e-07,2.5369161913230664e-07,53.0405675,6.081135000000004,8.953244186988867e-07,1.1490160378311934e-06,53.0405675,6.081135000000004,3.5134650000000004e-08,12.12272813814161,0.7932643999999982,0.7932643999999982,0.00892652711,0.6067356000000017,0,50,2,5,0,1,2,8,8,35n,0,4n,8,25,50V_2A_25C
1.043309298040918e-06,2.1555311630504957e-07,2.834743856348746e-07,55.3338516,10.667703200000005,1.2588624143459674e-06,1.542336799980842e-06,55.3338516,10.667703200000005,4.006108000000011e-08,12.368594992907386,-1.4204825999999997,-1.4204825999999997,-1.97759601,2.8204825999999996,0,50,2,5,-2,1,2,8,8,35n,0,4n,8,25,50V_2A_25C
6.845390099766453e-07,2.1193850952981654e-07,2.438106266393032e-07,53.2566672,6.513334400000006,8.964775195064618e-07,1.140288146145765e-06,53.2566672,6.513334400000006,3.5562000000000143e-08,12.656173331168441,0.26586200000000204,0.26586200000000204,0.00556184577,1.1341379999999979,0,50,2,5,0,1,2,8,8,35n,1,4n,8,25,50V_2A_25C
1.0495064618504822e-06,2.1367371699042584e-07,2.8299075803980485e-07,55.4477912,10.895582399999993,1.263180178840908e-06,1.5461709368807128e-06,55.4477912,10.895582399999993,4.011050000000002e-08,12.388192814552731,-1.7715365449999998,-1.7715365449999998,-1.98891449,3.1715365449999995,0,50,2,5,-2,1,2,8,8,35n,1,4n,8,25,50V_2A_25C
2.678811676840319e-06,2.240407158766701e-07,6.288318598610805e-08,11.0970658,-77.80586840000001,2.902852392716989e-06,2.965735578703097e-06,87.297962,74.595924,6.010502000000007e-08,23.543023620559314,3.652639899999997,3.652639899999997,0.668580352,-2.252639899999997,1,50,2,5,0,1,8,8,1,5n,0,4n,8,25,50V_2A_25C
6.633586708974557e-07,2.199723801140867e-07,7.949041869463622e-08,14.3479589,-71.3040822,8.833310510115425e-07,9.628214697061787e-07,82.1715709,64.34314180000001,5.616817999999997e-08,20.31155487241359,2.631184300000001,2.631184300000001,-1.39871066,-1.2311843000000011,1,50,2,5,-2,1,8,8,1,5n,0,4n,8,25,50V_2A_25C
7.309777548927155e-07,2.38377346583079e-07,6.359968056957017e-08,11.0958486,-77.8083028,9.693551014757946e-07,1.0329547820453647e-06,87.2678059,74.5356118,5.999125000000008e-08,22.917870711570085,1.3476894000000001,1.3476894000000001,0.278060594,0.05231059999999976,0,50,2,5,0,1,8,8,1,5n,1,4n,8,25,50V_2A_25C
8.933372265554461e-07,2.200933694204997e-07,8.099791369435258e-08,14.3472611,-71.3054778,1.1134305959759458e-06,1.1944285096702984e-06,82.1759704,64.3519408,5.616800999999999e-08,20.32993655427273,-0.3228081999999972,-0.3228081999999972,-1.74925561,1.7228081999999971,0,50,2,5,-2,1,8,8,1,5n,1,4n,8,25,50V_2A_25C
6.805529319037986e-07,2.1448245828455124e-07,2.596906116176508e-07,53.0405675,6.081135000000004,8.950353901883498e-07,1.1547260018060007e-06,53.0405675,6.081135000000004,2.5647190000000098e-08,12.47134327730372,0.7943719000000016,0.7943719000000016,0.0125948168,0.6056280999999983,0,50,2,5,0,1,2,8,8,25n,0,4n,8,25,50V_2A_25C
1.047596331173301e-06,2.0915758241265417e-07,2.942503524844361e-07,55.3338516,10.667703200000005,1.2567539135859554e-06,1.5510042660703915e-06,55.3338516,10.667703200000005,3.012171999999995e-08,12.897783895662547,-1.4212775999999998,-1.4212775999999998,-1.98002546,2.8212775999999997,0,50,2,5,-2,1,2,8,8,25n,0,4n,8,25,50V_2A_25C
6.865140416175436e-07,2.0957793291027409e-07,2.493993364575229e-07,53.2566672,6.513334400000006,8.960919745278177e-07,1.1454913109853406e-06,53.2566672,6.513334400000006,2.503500000000009e-08,12.938653148528466,0.2569020000000002,0.2569020000000002,0.00464123179,1.1430979999999997,0,50,2,5,0,1,2,8,8,25n,1,4n,8,25,50V_2A_25C
1.0575043284387246e-06,2.071928486799372e-07,2.9367242115755824e-07,55.4477912,10.895582399999993,1.2646971771186619e-06,1.5583695982762202e-06,55.4477912,10.895582399999993,3.0119940000000055e-08,12.908940975635106,-1.771125816,-1.771125816,-1.98697613,3.171125816,0,50,2,5,-2,1,2,8,8,25n,1,4n,8,25,50V_2A_25C
1.2566308607578322e-06,2.1150178808555473e-07,1.917138047747091e-07,42.0346004,-15.930799199999997,1.468132648843387e-06,1.659846453618096e-06,55.1036485,10.207296999999997,2.485504000000014e-08,11.818385284327945,3.021411999999998,3.021411999999998,0.127201092,-1.621411999999998,1,50,2,5,0,1,8,8,1,10n,0,4n,8,25,50V_2A_25C
9.007445272385954e-07,2.0922871019078023e-07,2.0266902587697123e-07,45.0474034,-9.9051932,1.1099732374293756e-06,1.3126422633063469e-06,53.4385121,6.877024199999994,1.68550200000001e-08,11.10932166790317,0.8020022999999981,0.8020022999999981,-1.91720895,0.5979977000000019,0,50,2,5,-2,1,8,8,1,10n,0,4n,8,25,50V_2A_25C
6.874545404886006e-07,2.116386521800136e-07,2.0864960958417347e-07,41.9616879,-16.076624199999998,8.990931926686142e-07,1.1077428022527877e-06,55.3041526,10.608305200000004,2.8613830000000013e-08,11.848816700440159,0.4016774000000005,0.4016774000000005,0.0523997828,0.9983225999999994,0,50,2,5,0,1,8,8,1,10n,1,4n,8,25,50V_2A_25C
1.0460090815115904e-06,2.0922603688924417e-07,2.2425498470229573e-07,44.9809815,-10.038037000000003,1.2552351184008346e-06,1.4794901031031303e-06,53.489616,6.979231999999996,1.6856449999999993e-08,11.114389662843436,-1.7044403030000002,-1.7044403030000002,-1.96774381,3.104440303,0,50,2,5,-2,1,8,8,1,10n,1,4n,8,25,50V_2A_25C
1.0122959177330773e-06,2.1097165030069396e-07,2.0146801414175227e-07,53.0994744,6.198948799999996,1.2232675680337713e-06,1.4247355821755236e-06,53.105504,6.211008000000006,1.615218000000012e-08,11.779749588063305,2.7219680000000004,2.7219680000000004,0.0103191527,-1.3219680000000005,1,50,2,5,0,1,8,8,1,15n,0,4n,8,25,50V_2A_25C
1.0368129220825891e-06,2.0973271527667496e-07,2.2424038756988877e-07,53.4185039,6.837007799999994,1.246545637359264e-06,1.4707860249291529e-06,53.7341265,7.468253000000004,2.0482119999999996e-08,11.382348596912594,0.7694040000000015,0.7694040000000015,-1.9827971,0.6305959999999984,0,50,2,5,-2,1,8,8,1,15n,0,4n,8,25,50V_2A_25C
6.789061416528858e-07,2.104822522930465e-07,2.3382995929138032e-07,52.9280853,5.856170599999998,8.893883939459323e-07,1.1232183532373127e-06,52.9280853,5.856170599999998,1.552325999999999e-08,11.721804098986862,0.37335549999999884,0.37335549999999884,0.00536840728,1.026644500000001,0,50,2,5,0,1,8,8,1,15n,1,4n,8,25,50V_2A_25C
1.0473840691341516e-06,2.096673396382638e-07,2.57393560575473e-07,53.3618916,6.723783200000001,1.2570514087724154e-06,1.5144449693478885e-06,53.6770501,7.354100200000005,2.037627999999998e-08,11.365880921714108,-1.702750854,-1.702750854,-1.98927196,3.102750854,0,50,2,5,-2,1,8,8,1,15n,1,4n,8,25,50V_2A_25C
1.0220987871591662e-06,2.0910372419739877e-07,1.7372026687666378e-07,54.5941282,9.1882564,1.231202511356565e-06,1.4049227782332288e-06,54.5941282,9.1882564,2.5615109999999984e-08,11.86776292716977,2.697559599999998,2.697559599999998,0.00969780453,-1.2975595999999983,1,50,2,5,0,1,8,8,1,25n,0,4n,8,25,50V_2A_25C
1.016497521130931e-06,2.059918171936947e-07,2.0380086492716382e-07,56.1791695,12.358339,1.2224893383246256e-06,1.4262902032517894e-06,56.1791695,12.358339,3.005309000000002e-08,11.375056535000484,0.8608483000000007,0.8608483000000007,-1.98336138,0.5391516999999992,0,50,2,5,-2,1,8,8,1,25n,0,4n,8,25,50V_2A_25C
6.873468366002621e-07,2.0932979159509254e-07,2.2768007977266823e-07,52.9535987,5.907197400000001,8.966766281953547e-07,1.1243567079680229e-06,52.9535987,5.907197400000001,2.5219130000000136e-08,11.742277117261422,0.3839471000000003,0.3839471000000003,0.00373297782,1.0160528999999996,0,50,2,5,0,1,8,8,1,25n,1,4n,8,25,50V_2A_25C
