 3.56009300e-09  1.12997851e+00  3.56009300e-09  1.12997851e+00  3.56009300e-09  4.61612897e+00  3.56009300e-09 -5.99142967e-01  3.56009300e-09  7.56145690e+01  3.56009300e-09  5.67639251e+00  3.56009300e-09 -4.32464407e+00 
 3.61009300e-09  1.24200805e+00  3.61009300e-09  1.24200805e+00  3.61009300e-09  4.72849805e+00  3.61009300e-09 -4.94345012e-01  3.61009300e-09  7.38147102e+01  3.61009300e-09  6.11835796e+00  3.61009300e-09 -3.88270303e+00 
 3.66009300e-09  1.34523660e+00  3.66009300e-09  1.34523660e+00  3.66009300e-09  4.83434401e+00  3.66009300e-09 -4.00611033e-01  3.66009300e-09  7.22396768e+01  3.66009300e-09  6.58617312e+00  3.66009300e-09 -3.41491222e+00 
 3.71009300e-09  1.43924545e+00  3.71009300e-09  1.43924545e+00  3.71009300e-09  4.93317388e+00  3.71009300e-09 -3.18255632e-01  3.71009300e-09  7.08918327e+01  3.71009300e-09  7.07595169e+00  3.71009300e-09 -2.92515795e+00 
 3.76009300e-09  1.52368824e+00  3.76009300e-09  1.52368824e+00  3.76009300e-09  5.02457597e+00  3.76009300e-09 -2.47488088e-01  3.76009300e-09  6.97724851e+01  3.76009300e-09  7.58379621e+00  3.76009300e-09 -2.41733770e+00 
 3.81009300e-09  1.59827947e+00  3.81009300e-09  1.59827947e+00  3.81009300e-09  5.10821377e+00  3.81009300e-09 -1.88428669e-01  3.81009300e-09  6.88821228e+01  3.81009300e-09  8.10581373e+00  3.81009300e-09 -1.89534439e+00 
 3.86009300e-09  1.66278399e+00  3.86009300e-09  1.66278399e+00  3.86009300e-09  5.18381939e+00  3.86009300e-09 -1.41124431e-01  3.86009300e-09  6.82206212e+01  3.86009300e-09  8.63812771e+00  3.86009300e-09 -1.36305459e+00 
 3.91009300e-09  1.71700775e+00  3.91009300e-09  1.71700775e+00  3.91009300e-09  5.25118683e+00  3.91009300e-09 -1.05563986e-01  3.91009300e-09  6.77874065e+01  3.91009300e-09  9.17688674e+00  3.91009300e-09 -8.24319720e-01 
 3.96009300e-09  1.76079000e+00  3.96009300e-09  1.76079000e+00  3.96009300e-09  5.31016526e+00  3.96009300e-09 -8.16908626e-02  3.96009300e-09  6.75815779e+01  3.96009300e-09  9.71827087e+00  3.96009300e-09 -2.82959725e-01 
 4.01009300e-09  1.79399720e+00  4.01009300e-09  1.79399720e+00  4.01009300e-09  5.36065270e+00  4.01009300e-09 -6.94150716e-02  4.01009300e-09  6.76019846e+01  4.01009300e-09  1.02584963e+01  4.01009300e-09  2.57241549e-01 
 4.06009300e-09  1.81651872e+00  4.06009300e-09  1.81651872e+00  4.06009300e-09  5.40259015e+00  4.06009300e-09 -6.86226195e-02  4.06009300e-09  6.78472575e+01  4.06009300e-09  1.07938189e+01  4.06009300e-09  7.92540078e-01 
 4.11009300e-09  1.82826438e+00  4.11009300e-09  1.82826438e+00  4.11009300e-09  5.43595644e+00  4.11009300e-09 -7.91827163e-02  4.11009300e-09  6.83157958e+01  4.11009300e-09  1.13205381e+01  4.11009300e-09  1.31923520e+00 
 4.16009300e-09  1.82916394e+00  4.16009300e-09  1.82916394e+00  4.16009300e-09  5.46076388e+00  4.16009300e-09 -1.00952564e-01  4.16009300e-09  6.90057110e+01  4.16009300e-09  1.18350007e+01  4.16009300e-09  1.83367370e+00 
 4.21009300e-09  1.81916852e+00  4.21009300e-09  1.81916852e+00  4.21009300e-09  5.47705487e+00  4.21009300e-09 -1.33779594e-01  4.21009300e-09  6.99147295e+01  4.21009300e-09  1.23336063e+01  4.21009300e-09  2.33225521e+00 
 4.26009300e-09  1.79825375e+00  4.26009300e-09  1.79825375e+00  4.26009300e-09  5.48489952e+00  4.26009300e-09 -1.77501170e-01  4.26009300e-09  7.10400585e+01  4.26009300e-09  1.28128146e+01  4.26009300e-09  2.81143940e+00 
 4.31009300e-09  1.76642486e+00  4.31009300e-09  1.76642486e+00  4.31009300e-09  5.48439434e+00  4.31009300e-09 -2.31941775e-01  4.31009300e-09  7.23782196e+01  4.31009300e-09  1.32691550e+01  4.31009300e-09  3.26775577e+00 
 4.36009300e-09  1.72372318e+00  4.36009300e-09  1.72372318e+00  4.36009300e-09  5.47566191e+00  4.36009300e-09 -2.96907833e-01  4.36009300e-09  7.39248560e+01  4.36009300e-09  1.36992396e+01  4.36009300e-09  3.69781621e+00 
 4.41009300e-09  1.67023420e+00  4.41009300e-09  1.67023420e+00  4.41009300e-09  5.45885165e+00  4.41009300e-09 -3.72180303e-01  4.41009300e-09  7.56745198e+01  4.41009300e-09  1.40997786e+01  4.41009300e-09  4.09833104e+00 
 4.46009300e-09  1.60609669e+00  4.46009300e-09  1.60609669e+00  4.46009300e-09  5.43414156e+00  4.46009300e-09 -4.57505380e-01  4.46009300e-09  7.76204469e+01  4.46009300e-09  1.44676002e+01  4.46009300e-09  4.46612850e+00 
